CustomerID,TotalOrders,TotalRevenue,CustomerFullName
11000,3,8248.99,Jon V Yang
11001,3,6383.879999999999,Eugene L Huang
11002,3,8114.039999999999,Ruben Torres
11003,3,8139.29,Christy Zhu
11004,3,8196.01,Elizabeth Johnson
11005,3,8121.33,Julio Ruiz
11006,3,8119.03,Janet G Alvarez
11007,3,8211.0,Marco Mehta
11008,3,8106.3099999999995,Rob Verhoff
11009,3,8091.33,Shannon C Carlson
11010,3,8088.039999999999,Jacquelyn C Suarez
11011,3,8133.039999999999,Curtis Lu
11012,2,81.26,Lauren M Walker
11013,2,113.96000000000001,Ian M Jenkins
11014,2,138.45,Sydney Bennett
11015,1,2500.97,Chloe Young
11016,1,2332.28,Wyatt L Hill
11017,3,6434.3099999999995,Shannon Wang
11018,3,6533.28,Clarence D Rai
11019,17,882.7,Luke L Lal
11020,1,2316.97,Jordan C King
11021,1,2371.96,Destiny Wilson
11022,1,2322.28,Ethan G Zhang
11023,2,122.24,Seth M Edwards
11024,2,56.510000000000005,Russell Xie
11025,3,6576.799999999999,Alejandro Beck
11026,3,6575.79,Harold Sai
11027,3,6591.57,Jessie R Zhao
11028,3,6474.62,Jill Jimenez
11029,3,6565.29,Jimmy L Moreno
11030,3,6471.32,Bethany G Yuan
11031,3,6478.6,Theresa G Ramos
11032,3,6525.5599999999995,Denise Stone
11033,3,6495.29,Jaime Nath
11034,3,6491.32,Ebony Gonzalez
11035,3,6451.3099999999995,Wendy Dominguez
11036,1,2354.98,Jennifer C Russell
11037,1,2374.23,Chloe M Garcia
11038,3,6437.33,Diana F Hernandez
11039,3,6636.58,Marc J Martin
11040,1,2350.96,Jesse Murphy
11041,1,2380.47,Amanda M Carter
11042,2,3112.33,Megan J Sanchez
11043,2,47.980000000000004,Nathan M Simmons
11044,3,6515.299999999999,Adam L Flores
11045,2,114.96000000000001,Leonard G Nara
11046,3,6616.8099999999995,Christine Yuan
11047,3,6582.33,Jaclyn D Lu
11048,3,6498.24,Jeremy Powell
11049,2,81.26,Carol C Rai
11050,3,5007.3,Alan Zheng
11051,2,123.94999999999999,Daniel Johnson
11052,3,8131.32,Heidi Lopez
11053,1,2329.98,Ana E Price
11054,3,8223.02,Deanna Munoz
11055,3,8168.01,Gilbert Raje
11056,3,8207.5,Michele L Nath
11057,3,8088.039999999999,Carl J Andersen
11058,3,8248.02,Marc Diaz
11059,3,116.92999999999999,Ashlee J Andersen
11060,3,8153.0199999999995,Jon L Zhou
11061,3,8129.02,Todd M Gao
11062,1,2351.96,Noah D Powell
11063,1,2372.95,Angela Murphy
11064,1,2304.98,Chase Reed
11065,2,202.57,Jessica Henderson
11066,2,81.25999999999999,Grace T Butler
11067,2,105.75,Caleb F Carter
11068,3,113.36,Tiffany Liang
11069,3,8104.049999999999,Carolyn Navarro
11070,3,8165.549999999999,Willie T Raji
11071,3,110.23,Linda Serrano
11072,3,8194.0,Casey Luo
11073,3,191.89999999999998,Amy Ye
11074,3,94.19,Levi A Arun
11075,3,8068.03,Felicia L Jimenez
11076,3,8159.04,Blake Anderson
11077,3,8169.03,Leah Ye
11078,17,913.27,Gina E Martin
11079,3,57.95,Donald Gonzalez
11080,3,8204.02,Damien Chander
11081,2,104.25999999999999,Savannah C Baker
11082,2,3110.81,Angela L Butler
11083,2,3137.3199999999997,Alyssa F Cox
11084,2,3078.61,Lucas Phillips
11085,2,128.96,Emily Johnson
11086,2,153.45,Ryan Brown
11087,2,200.28,Tamara L Liang
11088,2,3176.78,Hunter Davis
11089,2,3188.28,Abigail M Price
11090,3,6704.08,Trevor Bryant
11091,28,1189.33,Dalton Perez
11092,3,8110.0199999999995,Cheryl A Diaz
11093,3,8180.0,Aimee A He
11094,3,235.89,Cedric W Ma
11095,3,8158.01,Chad Kumar
11096,3,8063.039999999999,Andrés Anand
11097,3,8099.03,Edwin R Nara
11098,3,88.96000000000001,Mallory S Rubio
11099,3,8215.99,Adam Ross
11100,3,8172.51,Latasha L Navarro
11101,3,8262.52,Abby L Sai
11102,3,102.91,Julia L Nelson
11103,3,8182.5,Cassie Chande
11104,3,8173.03,Edgar A Sara
11105,3,8095.99,Candace Fernandez
11106,3,8079.049999999999,Jessie Liu
11107,3,8171.01,Bianca Lin
11108,3,8124.039999999999,Kari C Alvarez
11109,3,8245.01,Ruben D Kapoor
11110,3,8093.03,Curtis Yang
11111,3,8137.0,Meredith T Gutierrez
11112,3,8295.02,Crystal C Wang
11113,3,109.88,Micheal A Blanco
11114,3,122.89,Leslie C Moreno
11115,3,113.71000000000001,Alvin D Cai
11116,3,148.7,Clinton E Carlson
11117,3,8184.99,April Deng
11118,3,123.8,Alvin M Zeng
11119,2,85.22,Evan V James
11120,3,8242.49,Beth H Jiménez
11121,3,58.16,Orlando Suarez
11122,3,42.92999999999999,Byron Vazquez
11123,3,149.84,Philip A Alvarez
11124,3,8129.0199999999995,Ross F Jordan
11125,3,79.69,Dana J Navarro
11126,3,4972.37,Shaun Carson
11127,2,43.980000000000004,Jan Edwards
11128,2,143.94,Samantha Long
11129,2,5873.26,Julia M Wright
11130,1,37.29,Caroline L Russell
11131,5,165.91,Amanda Rivera
11132,1,2371.94,Melissa E Richardson
11133,1,71.96,Angela Griffin
11134,3,4911.83,Larry D Townsend
11135,1,2334.97,Marcus L Harris
11136,1,2380.47,Brianna D Morgan
11137,2,202.57,Jasmine A Taylor
11138,2,78.97,Lauren Davis
11139,2,83.97,Tanya Moreno
11140,1,39.99,Javier L Alvarez
11141,2,113.96000000000001,Nicole Ramirez
11142,17,980.77,Eduardo Patterson
11143,2,48.56,Jonathan M Henderson
11144,1,2399.97,Edward Hernandez
11145,1,2309.97,Jasmine L Coleman
11146,3,112.93,Karla L Goel
11147,3,8195.5,Ernest L Wu
11148,3,126.24000000000001,Ross Vazquez
11149,3,41.26,Theodore Gill
11150,3,192.42,Russell M Shen
11151,3,8087.3099999999995,Melinda G Gill
11152,1,2294.99,James J Williams
11153,2,109.77,Angela R James
11154,1,2319.99,Megan G Walker
11155,1,2319.99,Hunter J Robinson
11156,1,2389.97,Maria Roberts
11157,2,41.28,Hannah E Long
11158,1,2395.96,Jason K Wright
11159,2,48.56,Brianna A Hughes
11160,1,2322.28,Maurice M Tang
11161,2,93.94999999999999,Emily Wood
11162,1,2329.98,Chase Cox
11163,2,46.27,Gabriel Wang
11164,2,144.76,Devin Brooks
11165,2,102.49,Jocelyn Alexander
11166,2,87.96000000000001,Ashley Martinez
11167,2,3126.33,Jasmine J Barnes
11168,2,3136.59,David Rodriguez
11169,2,81.25999999999999,Bryce Richardson
11170,2,157.23,Carol T Howard
11171,3,6716.55,Jonathan E Hill
11172,2,128.94,Gabrielle J Adams
11173,2,102.49,Sarah F Thomas
11174,2,48.56,Nicholas Robinson
11175,3,6710.549999999999,Luis Wang
11176,28,1320.01,Mason D Roberts
11177,2,135.25,Jose M Flores
11178,2,144.76,Nathan J Johnson
11179,2,125.44,Molly E Rodriguez
11180,2,138.45,April Anand
11181,2,41.28,Devin P Martin
11182,2,81.25999999999999,Stephanie Torres
11183,2,46.27,Jasmine W Lee
11184,2,68.25,Meghan Hernandez
11185,27,1616.31,Ashley Henderson
11186,2,41.28,Sarah C Price
11187,2,107.47999999999999,Jennifer S Cooper
11188,2,81.26,Catherine Morris
11189,2,5944.219999999999,Lawrence W Blanco
11190,2,46.27,Carson Bryant
11191,3,6743.58,Kristi E Perez
11192,2,113.96000000000001,James C Brown
11193,2,41.28,Ian A Gray
11194,2,105.75,Jacqueline R Price
11195,2,105.75,Megan Henderson
11196,2,162.28,Alfredo Romero
11197,2,207.56,Andrea Morris
11198,2,98.47,Brooke Sanders
11199,2,131.75,Jacqueline Bennett
11200,27,1463.3799999999999,Jason L Griffin
11201,2,180.94,Amanda Foster
11202,2,73.97999999999999,Alexia L Price
11203,17,801.77,Luis D Diaz
11204,2,77.27000000000001,Destiny C Rivera
11205,2,37.29,Abby Fernandez
11206,2,77.27000000000001,Blake Flores
11207,2,77.27000000000001,Danielle Cox
11208,2,134.23,Maria Reed
11209,2,37.29,Allison Evans
11210,2,70.76,Edward J Wood
11211,17,793.55,Samantha Russell
11212,17,827.19,Chloe Campbell
11213,2,77.27000000000001,Stephanie B Murphy
11214,2,162.28,Charles O Miller
11215,17,1155.52,Ana Perry
11216,2,5948.24,Jasmine A Torres
11217,2,5953.25,Natalie P Adams
11218,2,39.58,Olivia Brown
11219,2,39.58,Charles Cook
11220,2,50.230000000000004,Erica C Huang
11221,2,46.27,Nathan Perry
11222,2,207.95999999999998,Alexandra Rivera
11223,27,1205.3799999999999,Hailey I Patterson
11224,3,6685.59,Tiffany J Li
11225,2,73.25,Madison D Lee
11226,2,37.29,Sydney T Ross
11227,2,5910.219999999999,Marshall D Chavez
11228,2,77.27000000000001,Ashley R Jones
11229,2,81.25999999999999,Adrian C Stewart
11230,2,54.22,Amber Turner
11231,2,64.26,Dennis Zhang
11232,2,39.58,Hailey R Bryant
11233,2,179.42999999999998,Todd Li
11234,2,76.27,Anna Griffin
11235,2,138.45,Angel J Stewart
11236,2,113.96000000000001,Jeremy Butler
11237,4,10566.38,Clarence M Anand
11238,4,7542.7699999999995,Mayra Prasad
11239,4,7511.549999999999,Latoya C Goel
11240,4,7586.23,Anne B Hernandez
11241,7,11469.1882,Lisa Cai
11242,7,11068.0082,Larry Munoz
11243,4,7164.25,Robin V Alvarez
11244,4,7175.75,Alexis M Coleman
11245,4,10580.35,Ricky D Vazquez
11246,4,10575.33,Latasha Rubio
11247,4,7131.51,Claudia M Zhou
11248,1,38.47,Tristan P Alexander
11249,4,9890.27,Cindy A Patel
11250,4,7116.25,Shannon D Liu
11251,1,2318.96,Xavier Long
11252,3,6685.5599999999995,Nicholas D Thompson
11253,16,696.61,José M Hernandez
11254,2,203.92,Johnathan W Vance
11255,2,113.96000000000001,Colin Lin
11256,2,81.25999999999999,Katelyn L Hernandez
11257,3,6677.38,Jacqueline Powell
11258,2,49.230000000000004,Xavier Hill
11259,3,6770.599999999999,Victoria C Stewart
11260,2,81.25999999999999,Katelyn L Kelly
11261,3,6650.6,Stephanie Collins
11262,27,1126.82,Jennifer Simmons
11263,3,6754.0599999999995,Trinity Richardson
11264,2,3182.27,Eduardo Martin
11265,1,2351.96,Elizabeth P Jones
11266,2,5922.23,Taylor Howard
11267,2,5943.23,David Diaz
11268,2,98.25,Katelyn A Carter
11269,2,42.28,Ryan W Foster
11270,2,5984.219999999999,Robert L Lee
11271,2,5973.24,Danielle C Reed
11272,2,5975.23,Lauren L Martinez
11273,2,273.23,Nathan E Lal
11274,2,5888.24,Kyle M Foster
11275,2,5955.23,Jenny D Rai
11276,27,988.32,Nancy E Chapman
11277,27,1434.99,Charles P Jackson
11278,2,5908.25,Jonathan Phillips
11279,2,44.57,Amanda S Cook
11280,2,77.27000000000001,Robert Collins
11281,2,5921.1900000000005,Megan J Barnes
11282,2,5998.73,Christian A Thomas
11283,2,44.57,Arturo Lal
11284,2,55.480000000000004,Theresa Serrano
11285,2,127.76,Jeremy J Anderson
11286,2,5954.219999999999,Hunter D Griffin
11287,27,1167.07,Henry B Garcia
11288,2,77.27000000000001,Cindy K Sanchez
11289,2,5905.48,Maria S Carter
11290,2,5933.25,Katelyn Sanchez
11291,2,5873.26,Jenna Wright
11292,2,5910.219999999999,Seth Phillips
11293,2,85.22,Luke S Long
11294,2,42.28,Dalton P Clark
11295,2,6058.25,Taylor G Lewis
11296,2,5897.530000000001,Haley Richardson
11297,2,5948.24,Noah Coleman
11298,2,5922.23,Jon Luo
11299,2,6015.24,Orlando E Vazquez
11300,27,1500.52,Fernando Barnes
11301,2,131.26,Cameron L Rodriguez
11302,2,5938.1900000000005,Spencer Russell
11303,2,5875.55,Julia Coleman
11304,2,122.21000000000001,Julia B Garcia
11305,2,77.27000000000001,Sean A Evans
11306,2,42.28,Micah A Zhou
11307,2,5964.219999999999,Hunter P Rodriguez
11308,2,94.26,Ian T Gonzales
11309,2,42.28,Victoria Lewis
11310,2,77.27000000000001,Erin A Sanders
11311,2,77.27000000000001,Gabrielle D Lopez
11312,2,42.28,Sara Richardson
11313,2,44.57,Trevor Jenkins
11314,2,47.53,Mya Flores
11315,2,42.28,Hailey J Ward
11316,1,2349.98,Luke Allen
11317,2,5873.26,Victoria D Russell
11318,2,44.57,Jessica Wilson
11319,2,5930.23,Jade E Bailey
11320,2,72.21000000000001,Morgan M Hill
11321,2,37.29,Terrance D Raman
11322,2,44.57,Sydney Garcia
11323,2,6074.54,Jose Patterson
11324,2,5945.23,Zachary Anderson
11325,2,6044.2,Elijah E Ross
11326,2,5948.24,Rafael M Xie
11327,2,5915.54,Jaime C Moreno
11328,2,4718.04,Julian M Griffin
11329,2,5898.26,Andy Alvarez
11330,27,1136.35,Ryan M Thompson
11331,27,1329.31,Samantha Jenkins
11332,2,5754.969999999999,Deanna D Ramos
11333,3,8163.3099999999995,Emily R Miller
11334,3,8154.0199999999995,Nicole Brown
11335,2,5744.25,Carla L Raman
11336,2,4441.3796,Shaun Raji
11337,3,8162.0,Jerome Romero
11338,2,5744.95,Frank F Navarro
11339,2,4379.0782,Dennis M She
11340,2,4413.0581999999995,Melody C Munoz
11341,3,8192.0,Randy A Zeng
11342,1,48.97,Marshall L Wang
11343,3,8221.99,Arthur P Carlson
11344,3,8119.8099999999995,Jessie Jimenez
11345,2,4404.0882,Robin Ramos
11346,2,4503.048199999999,Deanna E Gutierrez
11347,1,13.98,Roy T Navarro
11348,1,67.97,Shawn Rai
11349,1,67.97,Mindy J Luo
11350,1,38.47,Cara Zhou
11351,3,8068.03,Anne R Ramos
11352,1,13.98,Raymond A Rodriguez
11353,3,8078.0199999999995,Carrie L Ortega
11354,1,22.97,Deanna Suarez
11355,1,13.98,Roberto Gutierrez
11356,3,5069.29,Terrence Carson
11357,3,4943.8,Ramon Ye
11358,3,5034.78,Cynthia Malhotra
11359,3,4960.07,Jarrod Prasad
11360,3,5025.8,Tyrone Serrano
11361,2,114.96000000000001,Cindy G Ramos
11362,2,77.27000000000001,Damien M Shan
11363,3,5035.8099999999995,Julian Ross
11364,3,4921.82,Jennifer Collins
11365,3,5024.79,Brittney Sun
11366,2,77.27000000000001,Virginia R Patel
11367,2,86.25999999999999,Calvin J Nara
11368,3,5106.24,Edward Miller
11369,2,118.96,Ashlee D Tang
11370,2,79.97,Alicia Xu
11371,2,74.98,Lacey C Jai
11372,3,4965.8099999999995,Wendy H Romero
11373,1,38.47,Carly H Luo
11374,1,68.97,Jimmy M Ortega
11375,1,13.98,Francisco Martinez
11376,1,78.48,Lance Vazquez
11377,1,83.97,David R. Robinett
11378,2,4436.3896,Shannon Liang
11379,2,4426.0581999999995,Gary Vazquez
11380,2,5837.91,Mitchell L Kumar
11381,3,8161.0199999999995,Meredith Raman
11382,2,4344.0882,Edward Patterson
11383,1,48.97,Marie Gill
11384,1,48.97,Tiffany E Wang
11385,1,13.98,Miguel C Allen
11386,1,68.97,Jaclyn Cai
11387,3,6958.799999999999,Megan C Ramirez
11388,3,6986.75,Joseph Martin
11389,1,68.97,Karl J Shan
11390,1,48.97,Christine J Raji
11391,1,33.98,Lindsay T Xie
11392,1,28.99,Willie Zhao
11393,1,13.98,Kurt B Pal
11394,3,8161.969999999999,George McDonald
11395,2,5729.969999999999,Beth C Gutierrez
11396,1,28.99,Ian G Lopez
11397,1,38.47,Latoya R Shan
11398,3,8114.039999999999,Colin N Nath
11399,1,13.98,Brenda F Mehta
11400,3,6967.78,Franklin Raji
11401,3,5020.8696,Linda Navarro
11402,3,5059.3296,Kelli R Cai
11403,3,5033.1396,Nancy Schmidt
11404,1,33.98,Megan E Taylor
11405,1,53.99,Bonnie Goel
11406,2,4415.0382,Latoya L Xu
11407,1,53.99,Mario She
11408,1,34.47,Darren M Gill
11409,2,4444.0682,Jacqueline H Hayes
11410,2,4464.0682,Maurice Goel
11411,1,38.47,Devin A Ross
11412,4,9879.96,Sydney S Bryant
11413,4,7189.75,Megan L Stewart
11414,4,7191.7699999999995,Ian Richardson
11415,1,13.98,Randy H She
11416,3,4928.0581999999995,Katrina Becker
11417,7,11248.4582,Lacey C Zheng
11418,1,39.98,Rafael J Hu
11419,2,231.75,Kyle D Scott
11420,7,11200.7696,Jordan C Turner
11421,4,9780.04,Amy C Sun
11422,4,7075.2699999999995,Dustin F Deng
11423,4,9904.97,Jasmine Stewart
11424,1,43.98,Pamela S Garcia
11425,6,10528.6282,Ariana D Gray
11426,1,34.99,Kristopher Mehta
11427,4,9917.99,Desiree S Dominguez
11428,4,9954.26,Deanna Perez
11429,6,10468.3796,Marco Lopez
11430,1,84.98,Casey K Yuan
11431,4,9912.98,Bryant Garcia
11432,6,9330.1996,Dominique L Prasad
11433,6,12909.6682,Maurice M Shan
11434,2,70.46,Andre Lopez
11435,1,34.99,Robin Romero
11436,2,81.76,Taylor Cox
11437,1,53.99,Alfredo Moreno
11438,1,34.99,Jenny Nara
11439,6,12489.169600000001,Janet Munoz
11440,1,78.48,Sergio C Weber
