OrderYear,OrderMonth,CustomerID,CustomerFullName,EmployeeMonthAmount
2011,5,29497,François Ferrier,42813.4333
2011,5,29614,Ryan Calafato,35944.1562
2011,5,29646,Stacey M. Cereghino,33997.3702
2011,5,29958,Run Liu,39373.781
2011,5,29992,Sandra B. Maynard,38510.8973
2011,6,11591,Stacey W Lu,3578.27
2011,6,11592,Darrell T Raji,3578.27
2011,6,11593,Armando Moreno,3578.27
2011,6,11599,Melody Diaz,3578.27
2011,6,11601,Ivan S Raman,3578.27
2011,7,29507,Phyllis A. Allen,52803.4477
2011,7,29515,Maxwell J. Amland,75191.9599
2011,7,29522,Thomas B. Armstrong,51235.0091
2011,7,29624,Joseph J. Cantoni,121761.9396
2011,7,29861,Phyllis R. Huntsman,115696.3313
2011,8,29525,Teresa Atkinson,66848.3878
2011,8,29562,Steven B. Brown,91014.7853
2011,8,29580,Richard Bready,87867.8426
2011,8,29690,Conor Cunningham,81164.2329
2011,8,29722,Reuben D'sa,73761.5266
2011,9,12261,Kaitlin Sanchez,3578.27
2011,9,12265,Alan Guo,3578.27
2011,9,12267,Clifford Garcia,3578.27
2011,9,13606,Drew Sharma,3578.27
2011,9,13607,Levi J Rana,3578.27
2011,10,29525,Teresa Atkinson,99502.0328
2011,10,29562,Steven B. Brown,104111.5156
2011,10,29624,Joseph J. Cantoni,126198.3362
2011,10,29861,Phyllis R. Huntsman,104958.8068
2011,10,30111,Ranjit Rudra Varkey Chudukatil,108783.5872
2011,11,12308,Margaret He,3578.27
2011,11,12321,Rosa K Hu,3578.27
2011,11,12323,Lawrence S Alonso,3578.27
2011,11,12332,Andres A Nara,3578.27
2011,11,12333,Terrance V Rodriguez,3578.27
2011,12,29497,François Ferrier,53033.1921
2011,12,29614,Ryan Calafato,39547.8476
2011,12,29811,Mark Hanson,38655.486
2011,12,29825,James Hendergart,73261.1513
2011,12,29898,Sandeep Katyal,40648.38
2012,1,29562,Steven B. Brown,78882.9289
2012,1,29624,Joseph J. Cantoni,89704.272
2012,1,29649,Pat A. Chambers,69240.3932
2012,1,29722,Reuben D'sa,97078.3155
2012,1,29861,Phyllis R. Huntsman,85994.8887
2012,2,29497,François Ferrier,40814.828
2012,2,29614,Ryan Calafato,68880.0822
2012,2,29811,Mark Hanson,59103.2933
2012,2,29958,Run Liu,53423.5701
2012,2,29994,Robin M. McGuigan,45943.7648
2012,3,29507,Phyllis A. Allen,93834.0766
2012,3,29523,John Arthur,74719.7785
2012,3,29624,Joseph J. Cantoni,94327.0022
2012,3,29861,Phyllis R. Huntsman,101833.4197
2012,3,30111,Ranjit Rudra Varkey Chudukatil,100378.9078
2012,4,29486,Kim Abercrombie,60079.0221
2012,4,29639,Joseph N. Castellucio,50154.2683
2012,4,29715,Andrew Dixon,48117.9107
2012,4,29921,Joy R. Koski,58977.1342
2012,4,29967,Judy R. Lundahl,48748.8054
2012,5,29614,Ryan Calafato,150837.4387
2012,5,29646,Stacey M. Cereghino,117274.3453
2012,5,29689,Scott Culp,109253.4254
2012,5,29994,Robin M. McGuigan,120182.185
2012,5,30000,James L. McCoy,101336.8382
2012,6,29616,Barbara J. Calone,104881.9414
2012,6,29716,Blaine Dockter,107356.7904
2012,6,30074,Yuping Tian,90172.6738
2012,6,30103,Mandy Vance,147390.9328
2012,6,30112,Patricia M. Vasquez,93591.6217
2012,7,29562,Steven B. Brown,112287.2527
2012,7,29701,Kirk DeGrasse,146154.5653
2012,7,29715,Andrew Dixon,112722.8945
2012,7,29957,Kevin Liu,129261.254
